ESPÉCIE DE DÉBITO DETALHADA,ESPÉCIE,IDADE DA DÍVIDA,SALDO INICIAL DO PROCESSO,SALDO PROCESSO,VALOR RECOLHIMENTO PROCESSO,FAIXA DE RECOLHIMENTO,TAXA DE RECOLHIMENTO,PERÍODO DA DÍVIDA,PERIODO BAIXADO,SITUAÇÃO DO SALDO,INDICADOR DE PF OU PJ,SEGMENTO CONTRIBUINTE,QTDE. ANOS DO ESGOTAMENTO,ULTIMA ARRECADACAO,RATING
6,1,9,5271.72,3824.23,3365.47,1,0.6384007496604525,1,1,2,1,17,17,0.0,0
5,2,3,797.31,254.37,196.48,2,0.2464286162220466,0,0,1,0,10,0,0.0,0
5,2,3,1870.33,604.84,0.0,0,0.0,0,0,0,0,10,0,0.0,3
4,1,12,11849.1,8921.07,7555.31,1,0.6376273303457647,1,1,2,1,15,21,18274.67,0
5,2,3,1557.62,1538.19,0.0,0,0.0,0,0,0,0,10,0,0.0,3
2,1,15,14831.24,42446.92,3555.02,2,0.2396980967201663,1,1,2,1,18,21,0.0,0
6,1,2,1064.2,726.09,556.42,1,0.5228528472091711,0,0,1,1,12,0,12586.95,0
9,1,8,3788.99,4014.5,3455.46,1,0.9119739033357174,1,0,1,1,13,0,15008.43,0
2,1,7,6199.55,16721.98,0.0,0,0.0,1,1,0,1,11,0,0.0,3
5,2,1,1381.17,1468.87,0.0,0,0.0,0,0,0,1,10,0,377294.55,2
9,1,14,1856.59,5321.39,371.7,2,0.2002057535589441,1,1,2,1,12,5,0.0,1
5,2,11,2165.63,3741.56,0.0,0,0.0,1,0,0,0,10,0,0.0,3
4,1,1,2114.49,509.89,1486.66,1,0.7030820670705465,0,0,1,1,18,0,4114.08,0
5,2,4,4838.93,917.46,0.0,0,0.0,0,0,0,0,10,0,0.0,3
9,1,6,7786.97,7479.05,4938.02,1,0.6341388242153239,0,0,2,1,1,12,12141.03,0
9,1,13,15200.62,37368.19,4596.02,2,0.302357403842738,1,1,2,1,6,21,0.0,1
5,2,1,0.0,773.41,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,1,1280.18,1361.57,0.0,0,0.0,0,0,0,0,10,0,5815.75,2
9,1,7,13399.02,9254.24,580.86,0,0.0433509316352987,1,0,1,1,18,0,109922.28,0
5,2,1,0.0,1923.96,0.0,0,0.0,0,0,0,0,10,0,9277.94,2
4,1,1,4010.899999999999,3627.850000000001,1227.77,2,0.3061083547333516,0,0,2,1,13,1,25477.84,1
9,1,2,79349.57,86219.09,0.0,0,0.0,0,0,0,1,1,1,641434.73,1
6,1,3,6387.23,5024.92,2776.16,2,0.434642247108684,0,0,2,1,17,1,9824.89,1
5,2,1,962.9,1017.08,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,1,1280.18,1361.57,0.0,0,0.0,0,0,0,0,10,0,0.0,2
6,1,1,8521.029999999999,9624.68,0.0,0,0.0,0,0,0,1,7,0,0.0,1
5,2,3,3240.55,606.88,0.0,0,0.0,0,0,0,0,10,0,448.98,3
9,1,5,420.24,344.61,169.6,2,0.4035789072910718,0,0,2,1,17,1,22482.76,1
4,1,4,48007.00999999999,4082.92,54855.74,1,1.142661040543871,0,0,1,1,17,0,251590.17,0
5,2,1,0.0,777.43,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,4,1748.51,337.98,0.0,0,0.0,0,0,0,0,10,0,0.0,3
9,1,9,217.32,590.59,620.93,1,2.857215166574636,1,1,0,1,17,21,0.0,0
5,2,1,0.0,423.76,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,1,0.0,773.41,0.0,0,0.0,0,0,0,0,10,0,0.0,2
6,1,1,499.22,527.18,0.0,0,0.0,0,0,0,1,7,0,0.0,1
6,1,7,28968.98,63073.76,0.0,0,0.0,1,2,0,1,17,19,0.0,3
6,1,18,15481.4,37896.79,2560.99,3,0.1654236696939553,1,1,0,1,17,10,0.0,1
4,1,3,6462.46,4935.559999999999,3455.3758,1,0.5346842843127849,0,0,2,1,6,1,4277.52,0
5,2,1,0.0,421.65,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,1,1272.45,1353.43,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,4,1762.0,344.5999999999999,0.0,0,0.0,0,0,0,0,10,0,0.0,3
5,2,1,1281.66,1353.44,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,3,1870.33,587.35,0.0,0,0.0,0,0,0,0,10,0,971.62,3
5,2,1,778.05,816.9599999999999,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,1,0.0,1920.19,0.0,0,0.0,0,0,1,0,10,0,1766.07,0
5,2,1,0.0,773.41,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,1,2925.47,1349.43,1473.86,1,0.5038028077539677,0,0,1,0,10,0,1461.54,0
5,2,1,1281.66,1353.44,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,4,2129.49,1257.41,1360.01,1,0.6386552648756274,0,0,2,0,10,12,539.6,0
6,1,1,4237.46,4140.62,0.0,0,0.0,0,0,0,1,1,0,2080.82,0
4,1,12,264.35,262.87,135.28,1,0.5117457915642141,1,1,2,1,18,4,0.0,0
5,2,1,1281.66,1353.44,0.0,0,0.0,0,0,0,0,10,0,0.0,2
4,1,1,4162.72,294.16,4451.17,1,1.069293634931007,0,0,1,1,8,0,6831.16,0
6,1,14,3545.149999999999,7473.009999999998,470.16,3,0.1326206225406542,1,1,2,1,13,4,0.0,2
5,2,1,0.0,774.17,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,4,1599.6,289.19,0.0,0,0.0,0,0,0,0,10,0,311.9,3
9,1,2,8633.26,10911.59,160.51,0,0.01859204981663937,0,0,2,1,13,2,836.75,1
9,1,11,15203.85,45171.43,6499.83,2,0.4275121104194003,1,1,0,1,18,3,0.0,1
9,1,11,3849.82,11334.86,1356.71,2,0.3524086840423708,1,1,2,1,8,21,0.0,1
5,2,1,1281.66,1353.44,0.0,0,0.0,0,0,0,1,10,0,751782.89,2
6,1,2,7035.19,6376.59,0.0,0,0.0,0,0,0,1,7,0,0.0,1
5,2,3,1862.67,614.01,0.0,0,0.0,0,0,0,0,10,0,0.0,3
8,0,18,198.74,856.29,0.0,0,0.0,1,0,0,0,10,0,0.0,3
9,1,2,22139.47,20531.84,7012.13,2,0.3167252874617143,0,0,1,1,1,0,31011.0,0
9,1,7,7690.58,7858.280000000002,2761.2427,2,0.3590421918762954,1,0,2,1,7,2,2988.79,1
4,1,3,8978.76,12645.62,0.0,0,0.0,0,0,0,1,13,0,11444.12,1
9,1,1,3358.68,3811.22,0.0,0,0.0,0,0,0,1,17,2,2647.49,1
6,1,14,204538.47,317441.97,0.0,0,0.0,1,0,0,1,0,0,376829.13,0
5,2,1,0.0,379.81,0.0,0,0.0,0,0,0,0,10,1,0.0,2
8,0,4,936.1,1960.83,0.0,0,0.0,0,0,0,0,10,0,351.6,3
5,2,1,0.0,1873.92,0.0,0,0.0,0,0,1,0,10,0,0.0,0
5,2,1,0.0,778.44,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,1,0.0,773.41,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,3,1413.2,606.9,0.0,0,0.0,0,0,0,0,10,0,136.1,3
5,2,8,3034.09,4673.17,0.0,0,0.0,1,0,0,0,10,0,0.0,3
5,2,3,1887.8,613.9499999999998,0.0,0,0.0,0,0,0,0,10,0,0.0,3
6,1,13,1876.34,2705.45,622.2,2,0.3316030143790571,1,2,2,1,2,19,0.0,1
4,1,1,730.76,932.78,0.0,0,0.0,0,0,0,1,17,0,0.0,1
5,2,1,1280.18,1361.57,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,3,1104.05,383.49,0.0,0,0.0,0,0,0,0,10,0,1410.95,3
4,1,4,1159.8,1662.65,0.0,0,0.0,0,1,0,1,17,0,0.0,3
5,2,5,1788.25,423.43,0.0,0,0.0,0,0,0,0,10,0,0.0,3
6,1,5,4319.889999999999,7738.31,154.52,0,0.03576942931417235,0,2,2,1,2,16,0.0,3
5,2,1,0.0,421.65,0.0,0,0.0,0,0,0,0,10,0,0.0,2
9,1,9,6074.13,3639.88,76455.0133,1,12.58698995576321,1,1,1,1,1,0,0.0,0
9,1,1,0.0,37402.23,0.0,0,0.0,0,0,1,1,8,0,0.0,0
5,2,4,1046.9,195.0,0.0,0,0.0,0,0,0,0,10,0,210.73,3
2,1,10,1034.05,36538.04,1059.5,1,1.024611962671051,1,1,0,1,17,0,0.0,0
5,2,3,1353.21,606.87,0.0,0,0.0,0,0,0,0,10,0,0.0,3
6,1,9,3933.12,3933.37,2485.2994,1,0.6318900516638191,1,1,2,1,8,15,0.0,0
6,1,2,1450.77,1804.22,0.0,0,0.0,0,2,0,1,7,0,0.0,3
5,2,1,1280.18,1361.57,0.0,0,0.0,0,0,0,0,10,0,0.0,2
4,1,7,73180.33,82394.7,23810.637,2,0.3253693581321647,1,0,2,1,8,12,0.0,1
5,2,1,2660.76,2867.82,0.0,0,0.0,0,0,0,0,10,0,0.0,2
2,1,3,75158.73999999999,133238.55,0.0,0,0.0,0,1,0,1,17,0,2514.99,2
5,2,1,778.05,816.9599999999999,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,8,1326.43,1134.78,539.5329,2,0.4067556523902506,1,0,2,0,10,17,0.0,1
4,1,3,26966.71,9198.91,19573.4524,1,0.7258376123746648,0,0,1,1,13,0,32785.81,0
9,1,4,10487.92,13237.85,3097.1,2,0.2953016422703453,0,0,2,1,17,1,9459.74,1
5,2,3,794.05,364.59,0.0,0,0.0,0,0,0,0,10,0,0.0,3
4,1,3,263.88,373.29,0.0,0,0.0,0,0,0,1,17,0,0.0,3
9,1,10,2383.42,5700.2,1589.55,1,0.6669198043148082,1,1,2,1,13,19,0.0,0
4,1,1,861.59,548.72,411.85,2,0.4780115832356457,0,0,2,1,9,1,197.76,1
4,1,7,1686.85,1938.18,466.5951,2,0.2766073450514273,1,1,2,1,13,16,0.0,1
5,2,1,792.48,832.12,0.0,0,0.0,0,0,0,0,10,0,0.0,2
6,1,7,1061.84,2255.59,38.5945,0,0.0363468130791833,1,1,2,1,1,18,0.0,3
5,2,12,3331.59,5798.53,609.2,3,0.1828556334963186,1,0,1,0,10,0,0.0,0
8,0,3,3379.79,6351.81,0.0,0,0.0,0,0,0,0,10,0,0.0,3
5,2,1,1824.77,1940.53,0.0,0,0.0,0,0,0,1,10,0,751782.89,2
5,2,12,1392.46,2418.59,0.0,0,0.0,1,0,0,0,10,0,0.0,3
6,1,1,0.0,23035.6,0.0,0,0.0,0,0,1,1,13,0,0.0,0
6,1,9,7487.701999999998,13190.97,1583.31,2,0.2114547293682361,1,0,2,1,15,18,0.0,1
9,1,13,886.9100000000001,2284.38,261.12,2,0.2944154423785953,1,1,2,1,8,5,0.0,1
5,2,3,1870.33,604.84,0.0,0,0.0,0,0,0,0,10,0,0.0,3
0,1,19,43454.41,117950.49,0.0,0,0.0,1,1,0,1,17,0,2221.73,3
4,1,1,3417.84,4356.59,0.0,0,0.0,0,0,0,1,6,0,8088.0,0
5,2,1,778.05,816.9599999999999,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,3,1840.19,606.88,0.0,0,0.0,0,0,0,0,10,0,0.0,3
5,2,1,0.0,774.89,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,3,1878.03,605.69,0.0,0,0.0,0,0,0,0,10,0,0.0,3
4,1,3,2111.02,1488.2,1200.44,1,0.5686540155943572,0,0,2,1,7,1,2672.78,0
6,1,8,3871.21,4593.99,817.2958,2,0.2111215356438943,1,1,0,1,17,17,0.0,1
2,1,8,826.82,2200.96,0.0,0,0.0,1,1,0,1,13,19,0.0,2
9,1,21,1167.26,2608.29,538.0,2,0.4609084522728441,1,1,2,1,8,4,0.0,1
9,1,3,2428.29,1373.17,966.19,2,0.3978890494957357,0,0,2,1,17,1,3961.82,1
5,2,1,0.0,301.68,0.0,0,0.0,0,0,1,0,10,0,0.0,0
6,1,1,2637.01,2978.13,0.0,0,0.0,0,0,0,1,6,0,19040.19,0
5,2,9,1737.7,1724.08,1025.8487,1,0.5903485641940496,1,0,2,1,10,15,0.0,0
9,1,6,4367.780000000001,3237.45,2655.3889,1,0.607949324370733,0,1,1,1,13,0,402.49,0
